NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900340748,petroland sas en reorganizacion,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.",910,minero,0.08,0.0,0.07,0.03,0.04,2023
901543555,ipsen colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,773",comercio,0.08,0.01,0.07,0.05,0.01,2023
901129861,la yunta s.a.s,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,661",comercio,0.08,0.0,0.02,0.01,0.01,2023
800007355,laboratorios aurofarma sas,supersociedades,bogotá - cundinamarca,cundinamarca,funza-cundinamarca-cundinamarca,"4,645",comercio,0.08,0.0,0.03,0.02,0.01,2023
830101651,productos el tomatico sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","1,089",manufactura,0.08,0.0,0.04,0.02,0.01,2023
900310074,antioqueña de combustibles sas,supersociedades,antioquia,antioquia,copacabana-antioquia-antioquia,"4,731",comercio,0.08,0.0,0.02,0.0,0.01,2023
830078644,oben distribuidora ltda,supersociedades,bogotá - cundinamarca,cundinamarca,funza-cundinamarca-cundinamarca,"4,669",comercio,0.08,0.0,0.1,0.07,0.03,2023
800138082,bellatela sas,supersociedades,costa pacífica,valle,cali-valle,"4,641",comercio,0.08,0.01,0.08,0.02,0.06,2023
900245364,soluciones de tecnologia e ingenieria sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,190",servicios,0.08,0.0,0.05,0.02,0.02,2023
900524225,ssab colombia sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,669",comercio,0.08,0.0,0.05,0.03,0.02,2023
900134570,telxius cable colombia s a,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,110",servicios,0.08,0.0,0.17,0.12,0.05,2023
901221987,telefónica tech colombia s.a.s.,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,209",servicios,0.08,-0.0,0.06,0.04,0.02,2023
830089381,alca ingenieria sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,290",construcción,0.08,0.0,0.17,0.1,0.07,2023
800104214,inciteco sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,290",construcción,0.08,0.01,0.04,0.01,0.03,2023
830011068,avaya communication de colombia sa,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","9,512",servicios,0.08,0.0,0.08,0.07,0.01,2023
800130305,flores la mana sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.",125,agropecuario,0.08,0.01,0.04,0.02,0.02,2023
900504366,repán sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","1,081",manufactura,0.08,0.0,0.03,0.01,0.01,2023
890502572,arrocera gelvez sas,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"1,051",manufactura,0.08,0.0,0.03,0.02,0.01,2023
800006150,empresa cooperativa de servicios de salud emcosalud,supersalud,otros,huila,neiva-huila,"8,621",servicios,0.08,0.0,0.11,0.04,0.06,2023
830080634,maersk logistics & services colombia ltda,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","5,229",servicios,0.08,-0.01,0.07,0.07,-0.0,2023
860010783,congregacion de dominicas de santa catalina de sena,supersalud,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","8,621",servicios,0.08,-0.0,0.06,0.04,0.01,2023
890111275,donado arce y cia sas,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"4,290",construcción,0.08,0.0,0.05,0.02,0.03,2023
900476067,weir minerals colombia sas,supersociedades,antioquia,antioquia,rionegro-antioquia-antioquia,"4,659",comercio,0.08,0.0,0.05,0.02,0.03,2023
900708030,ayapele s.a.s,supersociedades,costa pacífica,choco,quibdo-choco-choco,"4,662",comercio,0.08,-0.0,0.01,0.0,0.01,2023
900611019,boticario colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,773",comercio,0.08,-0.03,0.07,0.06,0.01,2023
814006248,unidad cardioquirurgica de nariño sas,supersalud,costa pacífica,nariño,pasto-nariño,"8,610",servicios,0.08,0.0,0.08,0.05,0.04,2023
800024265,editorial santillana sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","5,811",servicios,0.08,0.01,0.07,0.04,0.03,2023
900970297,americandy sas,supersociedades,costa pacífica,valle,palmira-valle-valle,"1,082",manufactura,0.08,0.01,0.02,0.01,0.02,2023
822002315,seguridad jano ltda,supervigilancia,otros,meta,villavicencio-meta,"8,010",servicios,0.08,0.0,0.01,0.01,0.01,2023
900659798,compañia pesquera del mar s.a.s.,supersociedades,centro - oriente,santander,giron-santander,"4,723",comercio,0.08,-0.0,0.03,0.02,0.01,2023
830056113,prometeon tyre group colombia s.a.s,supersociedades,bogotá - cundinamarca,cundinamarca,chia-cundinamarca-cundinamarca,"4,530",comercio,0.08,0.0,0.04,0.03,0.01,2023
800045218,superoriente sa,supersociedades,antioquia,antioquia,rionegro-antioquia-antioquia,"4,631",comercio,0.08,0.0,0.01,0.01,0.0,2023
901154392,grupo luz y fuerza colombia s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"3,511",servicios,0.08,0.01,0.17,0.12,0.05,2023
811015158,shirley zuluaga salazar y cia s.a.s.,supersociedades,antioquia,antioquia,medellin-antioquia,"4,731",comercio,0.08,0.0,0.03,0.01,0.02,2023
830092048,casagro s.a.s,supersociedades,centro - oriente,santander,giron-santander,"4,664",comercio,0.08,0.0,0.07,0.06,0.01,2023
900021259,tocar s.a.,supersociedades,antioquia,antioquia,marinilla-antioquia-antioquia,"4,663",comercio,0.08,0.0,0.03,0.01,0.01,2023
860090324,j restrepo equiphos sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,659",comercio,0.08,-0.0,0.05,0.04,0.01,2023
901164974,junical medical s.a.s.,supersalud,bogotá - cundinamarca,cundinamarca,girardot-cundinamarca,"8,610",servicios,0.08,0.0,0.03,0.02,0.01,2023
805026771,recuperar sa ips,supersalud,costa pacífica,nariño,tumaco-nariño,"8,610",servicios,0.08,0.01,0.09,0.06,0.03,2023
900971385,solugral sas,supersociedades,centro - oriente,boyaca,combita-boyaca-boyaca,"4,664",comercio,0.08,0.0,0.04,0.03,0.01,2023
892301290,lacteos del cesar s.a. en reorganizacion,supersociedades,costa atlántica,cesar,valledupar-cesar-cesar,"1,040",manufactura,0.08,0.0,0.03,0.03,0.0,2023
860527377,general medica de colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,659",comercio,0.08,0.0,0.08,0.05,0.03,2023
901286743,master series sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,762",comercio,0.08,0.0,0.05,0.04,0.01,2023
